MonthYear,Year,Sales,Price Per Gallon,Unemployment_Rate,Steel_Price_Index,New_Auto_Price_Index,Used_Auto_Price_Index
Mar-2007,2007,1528582.0,2.563,4.4,205.5,136.481,135.201
Apr-2007,2007,1326837.0,2.845,4.5,209.2,136.578,134.995
May-2007,2007,1550609.0,3.1460000000000004,4.4,205.8,136.32299999999998,134.653
Jun-2007,2007,1433282.0,3.056,4.6,205.3,136.171,134.57
Jul-2007,2007,1302661.0,2.965,4.7,204.3,136.236,134.748
Aug-2007,2007,1467601.0,2.786,4.6,200.5,136.438,135.255
Sep-2007,2007,1305275.0,2.803,4.7,199.8,136.05100000000002,136.02200000000002
Oct-2007,2007,1221485.0,2.803,4.7,198.0,135.83100000000002,136.707
Nov-2007,2007,1170035.0,3.08,4.7,197.8,136.154,137.559
Dec-2007,2007,1377542.0,3.0180000000000002,5.0,200.6,136.09799999999998,137.855
Jan-2008,2008,1036540.0,3.043,5.0,210.0,135.92600000000002,138.938
Feb-2008,2008,1162277.0,3.028,4.9,215.2,135.405,138.81799999999998
Mar-2008,2008,1339158.0,3.2439999999999998,5.1,224.0,134.953,138.541
Apr-2008,2008,1237336.0,3.458,5.0,250.6,134.726,137.659
May-2008,2008,1383754.0,3.766,5.4,270.6,134.64600000000002,136.393
Jun-2008,2008,1176765.0,4.053999999999999,5.6,284.1,134.66,135.02
Jul-2008,2008,1126477.0,4.062,5.8,293.1,134.821,133.709
Aug-2008,2008,1240785.0,3.779,6.1,294.4,134.162,132.535
Sep-2008,2008,959127.0,3.7030000000000003,6.1,274.0,133.496,131.17600000000002
Oct-2008,2008,829396.0,3.051,6.5,236.0,132.925,129.407
Nov-2008,2008,737978.0,2.147,6.8,209.4,132.497,128.048
Dec-2008,2008,884306.0,1.6869999999999998,7.3,195.6,132.069,127.323
Jan-2009,2009,650608.0,1.788,7.8,191.6,132.66899999999998,126.66799999999999
Feb-2009,2009,681676.0,1.923,8.3,185.4,133.415,124.405
Mar-2009,2009,847002.0,1.959,8.7,179.8,133.866,122.21
Apr-2009,2009,822746.0,2.049,9.0,168.9,134.36700000000002,121.887
May-2009,2009,919295.0,2.266,9.4,169.2,134.987,122.53299999999999
Jun-2009,2009,850654.0,2.6310000000000002,9.5,171.1,135.72899999999998,123.236
Jul-2009,2009,991950.0,2.5269999999999997,9.5,178.2,136.298,122.844
Aug-2009,2009,1254982.0,2.616,9.6,187.0,134.77100000000002,125.01100000000001
Sep-2009,2009,740394.0,2.5540000000000003,9.8,193.7,135.524,127.631
Oct-2009,2009,832953.0,2.551,10.0,196.1,137.891,132.475
Nov-2009,2009,741826.0,2.6510000000000002,9.9,191.3,139.067,135.73
Dec-2009,2009,1013629.0,2.6069999999999998,9.9,195.7,138.928,139.376
Jan-2010,2010,693531.0,2.715,9.8,205.6,138.321,142.829
Feb-2010,2010,774108.0,2.6439999999999997,9.8,210.8,138.11700000000002,143.173
Mar-2010,2010,1059134.0,2.772,9.9,220.6,137.879,142.377
Apr-2010,2010,976345.0,2.8480000000000003,9.9,232.0,137.639,141.68
May-2010,2010,1096910.0,2.8360000000000003,9.6,235.5,137.482,140.952
Jun-2010,2010,978154.0,2.7319999999999998,9.4,233.5,137.409,141.951
Jul-2010,2010,1045915.0,2.7289999999999996,9.4,224.8,137.484,142.512
Aug-2010,2010,993211.0,2.73,9.5,221.9,137.782,143.42
Sep-2010,2010,953837.0,2.705,9.5,224.1,138.264,144.032
Oct-2010,2010,940740.0,2.801,9.4,222.7,138.442,144.313
Nov-2010,2010,863198.0,2.859,9.8,222.6,138.469,144.751
Dec-2010,2010,1135333.0,2.9930000000000003,9.3,228.3,138.678,145.66899999999995
Jan-2011,2011,815408.0,3.095,9.1,239.8,138.938,146.47799999999995
Feb-2011,2011,987265.0,3.2110000000000003,9.0,248.7,139.725,146.18200000000004
Mar-2011,2011,1238252.0,3.5610000000000004,9.0,253.3,140.42,145.64600000000004
Apr-2011,2011,1149240.0,3.8,9.1,257.5,140.878,145.542
May-2011,2011,1052417.0,3.906,9.0,256.6,142.014,146.476
Jun-2011,2011,1044037.0,3.68,9.1,256.4,142.70600000000005,148.518
Jul-2011,2011,1055231.0,3.65,9.0,256.9,142.856,149.971
Aug-2011,2011,1067895.0,3.639,9.0,256.5,142.84799999999996,151.312
Sep-2011,2011,1048158.0,3.611,9.0,256.9,142.94,151.67700000000005
Oct-2011,2011,1015016.0,3.448,8.8,255.2,143.095,151.986
Nov-2011,2011,986664.0,3.384,8.6,248.9,143.035,152.187
Dec-2011,2011,1236129.0,3.266,8.5,252.1,143.16299999999995,152.083
Jan-2012,2012,909806.0,3.38,8.3,256.5,143.466,151.106
Mar-2012,2012,1398128.0,3.852,8.2,253.4,143.901,149.265
Apr-2012,2012,1177478.0,3.9,8.2,252.3,143.898,150.053
May-2012,2012,1327521.0,3.7319999999999998,8.2,250.5,143.942,151.58700000000005
Jun-2012,2012,1276629.0,3.5389999999999997,8.2,239.0,144.07299999999995,152.263
Jul-2012,2012,1141761.0,3.4389999999999996,8.2,232.1,144.13,151.97
Aug-2012,2012,1274193.0,3.722,8.1,233.2,144.311,150.871
Sep-2012,2012,1183825.0,3.8489999999999998,7.8,233.7,144.359,149.64700000000005
Oct-2012,2012,1085804.0,3.7460000000000004,7.8,224.8,144.547,148.986
Nov-2012,2012,1137862.0,3.452,7.7,228.9,145.024,148.93200000000004
Dec-2012,2012,1347837.0,3.31,7.9,230.3,145.31799999999996,149.243
Jan-2013,2013,1037967.0,3.319,8.0,228.0,145.533,149.741
Feb-2013,2013,1185746.0,3.67,7.7,226.0,145.121,149.789
Mar-2013,2013,1444773.0,3.7110000000000003,7.5,228.8,145.26,148.912
Apr-2013,2013,1276318.0,3.57,7.6,228.1,145.378,148.577
May-2013,2013,1434096.0,3.615,7.5,223.3,145.379,148.501
Jun-2013,2013,1396038.0,3.6260000000000003,7.5,222.2,145.85399999999996,148.74200000000005
Jul-2013,2013,1306885.0,3.591,7.3,225.3,146.024,149.058
Aug-2013,2013,1494273.0,3.574,7.2,225.2,146.066,149.539
Sep-2013,2013,1128124.0,3.532,7.2,223.9,146.381,150.458
Oct-2013,2013,1198989.0,3.344,7.2,224.9,146.233,151.248
Nov-2013,2013,1236413.0,3.2430000000000003,6.9,228.9,146.171,151.993
Dec-2013,2013,1350623.0,3.2760000000000002,6.7,232.5,146.042,152.457
Jan-2014,2014,1006049.0,3.313,6.6,238.0,145.624,151.535
Feb-2014,2014,1186038.0,3.3560000000000003,6.7,234.9,145.625,150.718
Mar-2014,2014,1529348.0,3.533,6.7,231.3,145.64600000000004,149.641
Apr-2014,2014,1381300.0,3.661,6.2,234.6,145.986,149.217
May-2014,2014,1598730.0,3.673,6.3,233.5,146.14,149.006
Jun-2014,2014,1412565.0,3.6919999999999997,6.1,232.6,146.099,148.921
Jul-2014,2014,1427029.0,3.611,6.2,232.7,146.255,149.216
Aug-2014,2014,1575971.0,3.487,6.1,233.0,146.464,149.472
Sep-2014,2014,1239405.0,3.406,5.9,233.9,146.717,149.859
Oct-2014,2014,1275657.0,3.1710000000000003,5.7,230.5,146.928,148.954
Nov-2014,2014,1291817.0,2.912,5.8,226.3,146.959,147.488
Dec-2014,2014,1500108.0,2.543,5.6,224.0,146.886,145.83
Jan-2015,2015,1149107.0,2.116,5.7,222.4,146.10399999999996,144.875
Feb-2015,2015,1254709.0,2.2159999999999997,5.5,209.2,146.316,147.264
Mar-2015,2015,1540724.0,2.464,5.4,205.2,146.672,147.694
Apr-2015,2015,1449812.0,2.469,5.4,200.9,147.024,148.404
May-2015,2015,1629328.0,2.718,5.6,198.3,147.327,149.29
Jun-2015,2015,1471074.0,2.802,5.3,200.3,147.489,149.48
Jul-2015,2015,1507307.0,2.7939999999999996,5.2,198.2,147.46200000000005,149.078
Aug-2015,2015,1568896.0,2.636,5.1,193.0,147.41,148.295
Sep-2015,2015,1435728.0,2.365,5.0,190.5,147.611,147.554
Oct-2015,2015,1449359.0,2.29,5.0,181.5,147.481,146.39700000000005
Nov-2015,2015,1313000.0,2.158,5.1,175.2,147.466,144.85
Dec-2015,2015,1635926.0,2.0380000000000003,5.0,172.2,147.27200000000005,143.955
Jan-2016,2016,1147705.0,1.949,4.8,173.1,146.70600000000005,144.638
Feb-2016,2016,1340801.0,1.764,4.9,172.7,147.374,143.97899999999996
Mar-2016,2016,1590701.0,1.969,5.0,175.4,147.44299999999996,143.659
Apr-2016,2016,1501379.0,2.113,5.1,184.3,147.213,145.475
May-2016,2016,1520463.0,2.2680000000000002,4.8,192.9,147.175,146.416
Jun-2016,2016,1508662.0,2.366,4.9,193.4,147.046,144.887
Jul-2016,2016,1517151.0,2.239,4.8,193.6,147.303,143.27
Aug-2016,2016,1508095.0,2.178,4.9,195.0,147.335,142.803
Sep-2016,2016,1428354.0,2.219,5.0,191.2,147.482,144.851
Oct-2016,2016,1368064.0,2.249,4.9,186.4,147.784,142.217
Nov-2016,2016,1375086.0,2.182,4.7,189.3,147.737,139.975
Dec-2016,2016,1694258.0,2.254,4.7,196.4,147.686,139.457
Jan-2017,2017,1140841.0,2.349,4.7,204.8,148.092,139.306
Feb-2017,2017,1331716.0,2.3040000000000003,4.6,207.3,148.083,137.935
Mar-2017,2017,1553142.0,2.325,4.4,213.3,147.766,136.951
Apr-2017,2017,1424793.0,2.417,4.5,212.0,147.80700000000004,138.75
May-2017,2017,1517197.0,2.391,4.4,213.7,147.571,140.076
Jun-2017,2017,1472495.0,2.347,4.3,213.9,147.077,138.753
Jul-2017,2017,1415051.0,2.3,4.3,215.9,146.34799999999996,137.528
Aug-2017,2017,1480526.0,2.38,4.4,214.1,146.309,137.344
Sep-2017,2017,1523050.0,2.645,4.2,215.7,146.011,139.38
Oct-2017,2017,1353586.0,2.505,4.1,211.5,145.746,137.97299999999998
Nov-2017,2017,1397105.0,2.5639999999999996,4.2,208.8,146.171,136.955
Dec-2017,2017,1603063.0,2.477,4.1,212.9,146.86700000000005,138.119
Jan-2018,2018,1156581.0,2.555,4.0,217.6,146.254,138.471
Feb-2018,2018,1305932.0,2.5869999999999997,4.1,222.1,145.91299999999995,137.825
Mar-2018,2018,1657716.0,2.591,4.0,227.5,145.961,137.48
Apr-2018,2018,1364619.0,2.7569999999999997,4.0,234.1,145.431,137.493
May-2018,2018,1576158.0,2.9010000000000002,3.8,239.0,145.895,137.722
Jun-2018,2018,1549950.0,2.891,4.0,242.5,146.38,137.835
Jul-2018,2018,1373655.0,2.8489999999999998,3.8,244.3,146.684,138.68
Aug-2018,2018,1500121.0,2.8360000000000003,3.8,244.8,146.748,139.064
Sep-2018,2018,1440820.0,2.8360000000000003,3.7,244.7,146.69299999999996,137.336
Oct-2018,2018,1393137.0,2.86,3.8,244.1,146.47,138.565
Nov-2018,2018,1399187.0,2.647,3.8,246.7,146.55700000000004,140.111
Dec-2018,2018,1605973.0,2.366,3.9,245.8,146.47,140.099
Jan-2019,2019,1172653.0,2.248,4.0,240.4,146.317,140.747
Feb-2019,2019,1257589.0,2.309,3.8,235.7,146.329,139.359
Mar-2019,2019,1552126.0,2.516,3.8,238.6,147.016,138.09
Apr-2019,2019,1355548.0,2.798,3.7,234.0,147.194,138.56799999999998
May-2019,2019,1606260.0,2.859,3.7,229.8,147.201,138.101
Jun-2019,2019,1462664.0,2.716,3.6,222.5,147.234,139.55200000000002
Jul-2019,2019,1417418.0,2.74,3.6,216.9,147.194,140.719
Aug-2019,2019,1628577.0,2.6210000000000004,3.7,217.8,147.05700000000004,141.94799999999995
Sep-2019,2019,1282712.0,2.592,3.5,212.3,146.835,140.907
Oct-2019,2019,1384010.0,2.627,3.6,206.4,146.609,140.543
Nov-2019,2019,1445173.0,2.5980000000000003,3.6,205.1,146.457,139.489
Dec-2019,2019,1459164.0,2.555,3.6,207.3,146.56,139.126
Jan-2020,2020,1157415.0,2.548,3.5,212.1,146.498,137.958
Feb-2020,2020,1434716.0,2.4419999999999997,3.5,209.1,146.885,137.588
Mar-2020,2020,944850.0,2.234,4.4,210.6,146.364,138.24200000000002
Jun-2020,2020,1214706.0,2.082,11.1,203.5,146.94899999999996,135.795
Jul-2020,2020,1336267.0,2.1830000000000003,10.2,200.9,147.931,139.541
Aug-2020,2020,1298489.0,2.182,8.4,200.4,147.983,147.556
Sep-2020,2020,1370243.0,2.1830000000000003,7.8,205.2,148.36,155.33700000000005
Oct-2020,2020,1398735.0,2.158,6.9,207.4,148.858,156.658
Nov-2020,2020,1199580.0,2.108,6.7,211.1,148.834,154.495
Dec-2020,2020,1597958.0,2.195,6.7,230.7,149.385,153.107
Jan-2021,2021,1174053.0,2.334,6.3,250.8,148.611,151.743
Feb-2021,2021,1256529.0,2.501,6.2,260.5,148.58700000000005,150.37
Mar-2021,2021,1536038.0,2.81,6.0,289.6,148.55,151.197
Apr-2021,2021,1493938.0,2.858,6.1,322.8,149.267,166.37400000000005
May-2021,2021,1502642.0,2.985,5.8,331.3,151.69299999999996,178.505
Jun-2021,2021,1352285.0,3.0639999999999996,5.9,352.5,154.68,197.227
