MonthYear,Sales,Price Per Gallon,Unemployment_Rate
Jul-2020,1336267.0,2.1830000000000003,10.2
Aug-2020,1298489.0,2.182,8.4
Sep-2020,1370243.0,2.1830000000000003,7.8
Oct-2020,1398735.0,2.158,6.9
Nov-2020,1199580.0,2.108,6.7
Dec-2020,1597958.0,2.195,6.7
Jan-2021,1174053.0,2.334,6.3
Feb-2021,1256529.0,2.501,6.2
Mar-2021,1536038.0,2.81,6.0
Apr-2021,1493938.0,2.858,6.1
May-2021,1502642.0,2.985,5.8
Jun-2021,1352285.0,3.0639999999999996,5.9
Jul-2021,680083.0,3.136,5.4
